Pair,Year,Cointegration Ratio
"['COIN', 'PYPL']",2023,0.0859085908590859
"['UBER', 'WFC']",2023,0.0859
"['AAPL', 'BAC']",2023,0.0859
"['GOOG', 'T']",2023,0.0858
"['GOOGL', 'JPM']",2023,0.0858
"['AMZN', 'MU']",2023,0.08574287143571786
"['GOOGL', 'WFC']",2023,0.0857
"['AMZN', 'NEE']",2023,0.08567710939845861
"['INTC', 'T']",2023,0.0856
"['C', 'SHOP']",2023,0.0856
"['SHOP', 'WMT']",2023,0.0856
"['NEE', 'T']",2023,0.08553421368547419
"['AMD', 'CSCO']",2023,0.0854085408540854
"['INTC', 'WFC']",2023,0.0854
"['JPM', 'PLTR']",2023,0.08537683915523972
"['AAPL', 'CVX']",2023,0.0853
"['RIVN', 'WFC']",2023,0.08523409363745499
"['MU', 'PYPL']",2023,0.0852085208520852
"['C', 'SQ']",2023,0.0852
"['AAPL', 'XOM']",2023,0.0851085108510851
"['COIN', 'SNAP']",2023,0.0851
"['RIOT', 'VZ']",2023,0.0851
"['AMZN', 'SNAP']",2023,0.0851
"['AMZN', 'PYPL']",2023,0.085
"['AMD', 'MARA']",2023,0.085
"['AMD', 'XOM']",2023,0.085
"['GOOG', 'SQ']",2023,0.085
"['JPM', 'MARA']",2023,0.0849679743795036
"['AMZN', 'CVX']",2023,0.08493397358943577
"['AMD', 'PFE']",2023,0.0849
"['AMZN', 'WMT']",2023,0.08482544763429029
"['CSCO', 'SQ']",2023,0.0848
"['BABA', 'VZ']",2023,0.0848
"['AMD', 'WBA']",2023,0.0847
"['AMD', 'RIVN']",2023,0.0847
"['NEE', 'VZ']",2023,0.0847
"['CVX', 'RIVN']",2023,0.08465926148303812
"['RIOT', 'WMT']",2023,0.08462694041061593
"['AMZN', 'WBA']",2023,0.08461692338467694
"['JPM', 'VZ']",2023,0.0846
"['AMZN', 'T']",2023,0.0846
"['RIOT', 'WFC']",2023,0.08451690338067613
"['GOOGL', 'SHOP']",2023,0.0845
"['COIN', 'TSLA']",2023,0.0844
"['AMD', 'GOOGL']",2023,0.0844
"['NEE', 'PLTR']",2023,0.08437719210341718
"['MU', 'SQ']",2023,0.0843
"['AAPL', 'SHOP']",2023,0.0843
"['MU', 'WBA']",2023,0.0842
"['PFE', 'UBER']",2023,0.0842
"['UBER', 'XOM']",2023,0.0842
"['MARA', 'WBA']",2023,0.08415049029417651
"['AAPL', 'PYPL']",2023,0.0841
"['CVX', 'JPM']",2023,0.0841
"['BABA', 'GOOGL']",2023,0.0841
"['MARA', 'TSLA']",2023,0.084
"['MARA', 'MU']",2023,0.08393357342937174
"['UBER', 'WBA']",2023,0.0839
"['SHOP', 'XOM']",2023,0.0839
"['RIVN', 'T']",2023,0.0838
"['COIN', 'F']",2023,0.0838
"['MARA', 'PFE']",2023,0.0838
"['GOOG', 'SHOP']",2023,0.0836
"['AMD', 'PYPL']",2023,0.0836
"['C', 'CSCO']",2023,0.0836
"['JPM', 'NEE']",2023,0.0834
"['COIN', 'VZ']",2023,0.08320832083208321
"['AMD', 'T']",2023,0.0832
"['AMD', 'SQ']",2023,0.0831
"['MU', 'RIOT']",2023,0.08304982989793876
"['AMZN', 'BAC']",2023,0.083
"['SHOP', 'WFC']",2023,0.0829
"['GOOG', 'UBER']",2023,0.0829
"['JPM', 'RIVN']",2023,0.08284970982589554
"['AMD', 'GOOG']",2023,0.0828
"['RIOT', 'WBA']",2023,0.08265786050235165
"['MARA', 'NEE']",2023,0.08258258258258258
"['TSLA', 'WFC']",2023,0.08247422680412371
"['RIVN', 'VZ']",2023,0.08241648329665933
"['JPM', 'SQ']",2023,0.0824
"['JPM', 'RIOT']",2023,0.08234117058529265
"['CVX', 'WFC']",2023,0.0822
"['COIN', 'GOOGL']",2023,0.0822
"['INTC', 'SNAP']",2023,0.0822
"['COIN', 'XOM']",2023,0.08212463739121736
"['COIN', 'SHOP']",2023,0.0821
"['RIOT', 'T']",2023,0.082008200820082
"['MARA', 'UBER']",2023,0.082008200820082
"['GOOG', 'MU']",2023,0.0819
"['AMD', 'SNAP']",2023,0.0819
"['MU', 'NEE']",2023,0.0819
"['AAPL', 'WFC']",2023,0.08182454736420926
"['AMD', 'BAC']",2023,0.0818
"['AAPL', 'NEE']",2023,0.0817408704352176
"['COIN', 'PFE']",2023,0.0817
"['AMD', 'JPM']",2023,0.0816081608160816
"['CVX', 'UBER']",2023,0.0815
"['AAPL', 'AMD']",2023,0.0813
"['PYPL', 'WMT']",2023,0.0813
"['MARA', 'T']",2023,0.0813
"['AMD', 'CVX']",2023,0.0812
"['MARA', 'VZ']",2023,0.08112433730119036
"['MU', 'WMT']",2023,0.0811
"['AMD', 'WFC']",2023,0.0809
"['COIN', 'WFC']",2023,0.0809
"['WFC', 'WMT']",2023,0.0809
"['JPM', 'PFE']",2023,0.0809
"['COIN', 'JPM']",2023,0.08054027013506754
"['COIN', 'WMT']",2023,0.08038038038038038
"['COIN', 'T']",2023,0.0803
"['COIN', 'GOOG']",2023,0.08020802080208021
"['SHOP', 'T']",2023,0.0801
"['MARA', 'WMT']",2023,0.08005603922745923
"['UBER', 'WMT']",2023,0.0799
